#,Assembly Constituency,Candidate,Party,Vote,Party,,
193,Shrivardhan,Aditi Tatkare,Nationalist Congress Party,92074,Shiv Sena,,
194,Mahad,Bharat Gogawale,Shiv Sena,102273,Indian National Congress,,
195,Junnar,Atul Benke,Nationalist Congress Party,74958,Shiv Sena,,
196,Ambegaon,Dilip Walse-Patil,Nationalist Congress Party,126120,Shiv Sena,,
197,Khed Alandi,Dilip Mohite,Nationalist Congress Party,96866,Shiv Sena,,
198,Shirur,Ashok Pawar,Nationalist Congress Party,145131,Bharatiya Janata Party,,
199,Daund,Rahul Kul,Bharatiya Janata Party,103664,Nationalist Congress Party,,
200,Indapur,Dattatray Vithoba Bharne,Nationalist Congress Party,114960,Bharatiya Janata Party,,
201,Baramati,Ajit Pawar,Nationalist Congress Party,195641,Bharatiya Janata Party,,
202,Purandar,Sanjay Chandukaka Jagtap,Indian National Congress,130710,Bharatiya Janata Party,,
203,Bhor,Sangram Anantrao Thopate,Indian National Congress,108925,Shiv Sena,,
204,Maval,Sunil Shelke,Nationalist Congress Party,167712,Bharatiya Janata Party,,
205,Chinchwad,Laxman Pandurang Jagtap,Bharatiya Janata Party,150723,Independent,,
206,Pimpri,Anna Bansode,Nationalist Congress Party,86985,Shiv Sena,,
207,Bhosari,Mahesh Landge,Bharatiya Janata Party,159295,Nationalist Congress Party,,
208,Vadgaon Sheri,Sunil Tingre,Nationalist Congress Party,97700,Bharatiya Janata Party,,
209,Shivajinagar,Siddharth Shirole,Bharatiya Janata Party,58727,Indian National Congress,,
210,Kothrud,Chandrakant Bacchu Patil,Bharatiya Janata Party,105246,Maharashtra Navnirman Sena,,
211,Khadakwasala,Bhimrao Tapkir,Bharatiya Janata Party,120518,Nationalist Congress Party,,
212,Parvati,Madhuri Misal,Bharatiya Janata Party,97012,Nationalist Congress Party,,
213,Hadapsar,Chetan Tupe,Nationalist Congress Party,92326,Bharatiya Janata Party,,
214,Pune Cantonment,Sunil Kamble,Bharatiya Janata Party,52160,Indian National Congress,,
215,Kasba Peth,Mukta Tilak,Bharatiya Janata Party,75492,Indian National Congress,,
216,Akole,Dr. Kiran Lahamate,Nationalist Congress Party,113414,Bharatiya Janata Party,,
217,Sangamner,Balasaheb Thorat,Indian National Congress,125380,Shiv Sena,,
218,Shirdi,Radhakrishna Vikhe Patil,Bharatiya Janata Party,132316,Indian National Congress,,
219,Kopargaon,Ashutosh Ashokrao Kale,Nationalist Congress Party,87566,Bharatiya Janata Party,,
220,Shrirampur,Lahu Natha Kanade,Indian National Congress,93906,Shiv Sena,,
221,Nevasa,Shankarrao Gadakh,Krantikari Shetkari Paksha,116943,Bharatiya Janata Party,,
222,Shevgaon,Monika Rajale,Bharatiya Janata Party,112509,Nationalist Congress Party,,
223,Rahuri,Prajakt Tanpure,Nationalist Congress Party,109234,Bharatiya Janata Party,,
224,Parner,Nilesh Dnyandev Lanke,Nationalist Congress Party,139963,Bharatiya Janata Party,,
225,Ahmednagar City,Sangram Jagtap,Nationalist Congress Party,81217,Shiv Sena,,
226,Shrigonda,Babanrao Pachpute,Bharatiya Janata Party,103258,Nationalist Congress Party,,
227,Karjat Jamkhed,Rohit Pawar,Nationalist Congress Party,135824,Bharatiya Janata Party,,
228,Georai,Laxman Pawar,Bharatiya Janata Party,99625,Nationalist Congress Party,,
229,Majalgaon,Prakashdada Solanke,Nationalist Congress Party,111566,Bharatiya Janata Party,,
230,Beed,Sandeep Kshirsagar,Nationalist Congress Party,99934,Shiv Sena,,
231,Ashti,Balasaheb Ajabe,Nationalist Congress Party,126756,Bharatiya Janata Party,,
232,Kaij,Namita Mundada,Bharatiya Janata Party,126756,Nationalist Congress Party,,
233,Parli,Dhananjay Munde,Nationalist Congress Party,122114,Bharatiya Janata Party,,
234,Latur Rural,Dhiraj Deshmukh,Indian National Congress,122114,None of the Above,,
235,Latur City,Amit Deshmukh,Indian National Congress,111156,Bharatiya Janata Party,,
236,Ahmadpur,Babasaheb Patil,Nationalist Congress Party,84636,Bharatiya Janata Party,,
237,Udgir,Sanjay Bansode,Nationalist Congress Party,96366,Bharatiya Janata Party,,
238,Nilanga,Sambhaji Patil Nilangekar,Bharatiya Janata Party,97324,Indian National Congress,,
239,Ausa,Abhimanyu Dattatray Pawar,Bharatiya Janata Party,95340,Indian National Congress,,
240,Umarga,Dnyanraj Chougule,Shiv Sena,86773,Indian National Congress,,
241,Tuljapur,Ranajagjitsinha Patil,Bharatiya Janata Party,99034,Indian National Congress,,
242,Osmanabad,Kailas Ghadge Patil,Shiv Sena,87488,Indian National Congress,,
243,Paranda,Dr. Tanaji Sawant,Shiv Sena,106674,Nationalist Congress Party,,
244,Karmala,Sanjaymama Shinde,Independent,78822,Independent,,
245,Madha,Babanrao Vitthalrao Shinde,Nationalist Congress Party,142573,Shiv Sena,,
246,Barshi,Rajendra Raut,Independent,95482,Shiv Sena,,
247,Mohol,Yashwant Mane,Nationalist Congress Party,90532,Shiv Sena,,
248,Solapur City North,Vijay Deshmukh,Bharatiya Janata Party,96529,Vanchit Bahujan Aghadi,,
249,Solapur City Central,Praniti Shinde,Indian National Congress,51440,All India Majlis-E-Ittehadul Muslimeen,,
250,Akkalkot,Kalyanshetti Sachin Panchappa,Bharatiya Janata Party,119437,Indian National Congress,,
251,Solapur South,Subhash Sureshchandra Deshmukh,Bharatiya Janata Party,87223,Indian National Congress,,
252,Pandharpur,Bharat Bhalake,Nationalist Congress Party,89787,Bharatiya Janata Party,,
253,Sangole,Adv. Shahajibapu Rajaram Patil,Shiv Sena,99464,Peasants And Workers Party of India,,
254,Malshiras,Ram Satpute,Bharatiya Janata Party,103507,Nationalist Congress Party,,
255,Phaltan,Dipak Pralhad Chavan,Nationalist Congress Party,117617,Bharatiya Janata Party,,
256,Wai,Makrand Laxmanrao Jadhav,Nationalist Congress Party,130486,Bharatiya Janata Party,,
257,Koregaon,Mahesh Sambhajiraje Shinde,Shiv Sena,101487,Nationalist Congress Party,,
258,Man,Jaykumar Gore,Bharatiya Janata Party,91469,Independent,,
259,Karad North,Shamrao Pandurang Patil,Nationalist Congress Party,100509,Independent,,
260,Karad South,Prithviraj Chavan,Indian National Congress,92296,Bharatiya Janata Party,,
261,Patan,Shambhuraj Desai,Shiv Sena,106266,Nationalist Congress Party,,
262,Satara,Shivendra Raje Bhosale,Bharatiya Janata Party,118005,Nationalist Congress Party,,
263,Dapoli,Yogesh Kadam,Shiv Sena,95364,Nationalist Congress Party,,
264,Guhagar,Bhaskar Jadhav,Shiv Sena,95364,Nationalist Congress Party,,
265,Chiplun,Shekhar Govindrao Nikam,Nationalist Congress Party,101578,Shiv Sena,,
266,Ratnagiri,Uday Samant,Shiv Sena,118484,Nationalist Congress Party,,
267,Rajapur,Rajan Prabhakar Salvi,Shiv Sena,65433,Indian National Congress,,
268,Kankavli,Nitesh Narayan Rane,Bharatiya Janata Party,84504,Shiv Sena,,
269,Kudal,Vaibhav Naik,Shiv Sena,69168,Independent,,
270,Sawantwadi,Deepak Vasant Kesarkar,Shiv Sena,69784,Independent,,
271,Chandgad,Rajesh Patil,Nationalist Congress Party,55558,Independent,,
272,Radhanagari,Prakashrao Abitkar,Shiv Sena,105881,Nationalist Congress Party,,
